,user_id,itemCount,records,Online_Days,Period,Behavior_1,Behavior_2,Behavior_3,Behavior_4,records_evening,records_midnight,records_afternoon,records_morning,LogDayFreq,ViewPerDay,MorningProp,AfternoonProp,EveningProp,MidnightProp,ViewProp,FavorProp,CartProp,PayProp,PayViewRate,PayFavorRate,PayCartRate,FavorViewRate,CartViewRate,CartFavorRate
0,100014756,514,1497,30,30,1420,2.0,62.0,13.0,429.0,341.0,213.0,514.0,1.0,49.9,0.343353373413,0.142284569138,0.286573146293,0.227788911156,0.948563794255,0.00133600534402,0.0414161656647,0.00868403473614,0.00915492957746,6.5,0.209677419355,0.00140845070423,0.043661971831,31.0
1,100022513,335,1064,26,30,1007,0.0,37.0,20.0,505.0,30.0,230.0,299.0,0.866666666667,40.9230769231,0.281015037594,0.216165413534,0.47462406015,0.0281954887218,0.946428571429,0.0,0.0347744360902,0.0187969924812,0.0198609731877,-999.0,0.540540540541,0.0,0.0367428003972,-999.0
2,100022795,242,688,27,30,652,1.0,9.0,26.0,550.0,42.0,43.0,53.0,0.9,25.4814814815,0.0770348837209,0.0625,0.799418604651,0.0610465116279,0.947674418605,0.00145348837209,0.0130813953488,0.0377906976744,0.0398773006135,26.0,2.88888888889,0.00153374233129,0.0138036809816,9.0
3,100031405,2,2,1,1,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,100036738,35,90,6,25,89,0.0,0.0,1.0,16.0,0.0,9.0,65.0,0.24,15.0,0.722222222222,0.1,0.177777777778,0.0,0.988888888889,0.0,0.0,0.0111111111111,0.0112359550562,-999.0,-999.0,0.0,0.0,0.0
5,100058635,81,152,6,22,148,0.0,4.0,0.0,61.0,50.0,17.0,24.0,0.272727272727,25.3333333333,0.157894736842,0.111842105263,0.401315789474,0.328947368421,0.973684210526,0.0,0.0263157894737,0.0,0.0,0.0,0.0,0.0,0.027027027027,-999.0
6,100073084,101,303,16,24,289,3.0,7.0,4.0,230.0,6.0,38.0,29.0,0.666666666667,18.9375,0.0957095709571,0.125412541254,0.759075907591,0.019801980198,0.953795379538,0.00990099009901,0.023102310231,0.013201320132,0.0138408304498,1.33333333333,0.571428571429,0.0103806228374,0.0242214532872,2.33333333333
7,100075093,259,795,16,17,743,2.0,24.0,26.0,314.0,64.0,337.0,80.0,0.941176470588,49.6875,0.100628930818,0.423899371069,0.394968553459,0.0805031446541,0.934591194969,0.00251572327044,0.0301886792453,0.0327044025157,0.0349932705249,13.0,1.08333333333,0.00269179004038,0.0323014804845,12.0
8,100076457,154,369,6,17,357,1.0,5.0,6.0,122.0,63.0,22.0,162.0,0.352941176471,61.5,0.439024390244,0.059620596206,0.330623306233,0.170731707317,0.967479674797,0.00271002710027,0.0135501355014,0.0162601626016,0.0168067226891,6.0,1.2,0.00280112044818,0.0140056022409,5.0
9,100094762,168,455,22,30,445,0.0,7.0,3.0,27.0,0.0,159.0,269.0,0.733333333333,20.6818181818,0.591208791209,0.349450549451,0.0593406593407,0.0,0.978021978022,0.0,0.0153846153846,0.00659340659341,0.00674157303371,-999.0,0.428571428571,0.0,0.0157303370787,-999.0
10,100110794,666,1578,23,27,1494,35.0,46.0,3.0,983.0,37.0,138.0,420.0,0.851851851852,68.6086956522,0.266159695817,0.0874524714829,0.622940430925,0.0234474017744,0.946768060837,0.0221799746515,0.0291508238276,0.00190114068441,0.00200803212851,0.0857142857143,0.0652173913043,0.0234270414993,0.0307898259705,1.31428571429
11,100112070,41,92,6,15,89,0.0,3.0,0.0,32.0,0.0,20.0,40.0,0.4,15.3333333333,0.434782608696,0.217391304348,0.347826086957,0.0,0.967391304348,0.0,0.0326086956522,0.0,0.0,0.0,0.0,0.0,0.0337078651685,-999.0
12,100112779,1541,4689,25,30,4109,399.0,137.0,44.0,3746.0,246.0,527.0,170.0,0.833333333333,187.56,0.0362550650459,0.112390701642,0.79889102154,0.0524632117722,0.876306248667,0.0850927703135,0.0292173171252,0.00938366389422,0.0107082015089,0.110275689223,0.321167883212,0.0971039182283,0.0333414456072,0.34335839599
13,100114414,392,1074,25,30,1011,1.0,51.0,11.0,367.0,293.0,122.0,292.0,0.833333333333,42.96,0.271880819367,0.113594040968,0.341713221601,0.272811918063,0.941340782123,0.000931098696462,0.0474860335196,0.0102420856611,0.0108803165183,11.0,0.21568627451,0.000989119683482,0.0504451038576,51.0
14,100121590,1496,4353,30,30,4144,50.0,91.0,68.0,2452.0,187.0,1024.0,690.0,1.0,145.1,0.158511371468,0.235240064323,0.563289685275,0.0429588789341,0.951987135309,0.0114863312658,0.0209051229037,0.0156214105215,0.0164092664093,1.36,0.747252747253,0.0120656370656,0.0219594594595,1.82
15,100140061,197,494,24,28,458,0.0,27.0,9.0,208.0,28.0,86.0,172.0,0.857142857143,20.5833333333,0.348178137652,0.174089068826,0.421052631579,0.0566801619433,0.927125506073,0.0,0.0546558704453,0.0182186234818,0.0196506550218,-999.0,0.333333333333,0.0,0.0589519650655,-999.0
