,item_category,userCount,Records,Period,ClickDays,Behavior_1,Behavior_2,Behavior_3,Behavior_4,records_evening,records_midnight,records_afternoon,records_morning,ViewPerClickDay,ClickPerUser,PayPerUser,ViewPerUser,CartPerUser,FavorPerUser,MorningProp,AfternoonProp,EveningProp,MidnightProp,ViewProp,FavorProp,CartProp,PayProp,PayViewRate,PayFavorRate,PayCartRate,FavorViewRate,CartViewRate,CartFavorRate
0,10,55,226,30,28,221.0,1.0,4.0,0.0,104.0,45.0,57.0,20.0,8.07142857143,4.10909090909,0.0,4.01818181818,0.0727272727273,0.0181818181818,0.0884955752212,0.252212389381,0.46017699115,0.199115044248,0.977876106195,0.00442477876106,0.0176991150442,0.0,0.0,0.0,0.0,0.00452488687783,0.0180995475113,4.0
1,100,29,61,30,18,56.0,0.0,5.0,0.0,18.0,18.0,14.0,11.0,3.38888888889,2.10344827586,0.0,1.93103448276,0.172413793103,0.0,0.180327868852,0.229508196721,0.295081967213,0.295081967213,0.918032786885,0.0,0.0819672131148,0.0,0.0,0.0,0.0,0.0,0.0892857142857,-999.0
2,10000,16,51,29,12,47.0,1.0,3.0,0.0,24.0,9.0,7.0,11.0,4.25,3.1875,0.0,2.9375,0.1875,0.0625,0.21568627451,0.137254901961,0.470588235294,0.176470588235,0.921568627451,0.0196078431373,0.0588235294118,0.0,0.0,0.0,0.0,0.0212765957447,0.063829787234,3.0
3,10002,18,62,26,13,57.0,2.0,2.0,1.0,18.0,20.0,17.0,7.0,4.76923076923,3.44444444444,0.0555555555556,3.16666666667,0.111111111111,0.111111111111,0.112903225806,0.274193548387,0.290322580645,0.322580645161,0.91935483871,0.0322580645161,0.0322580645161,0.0161290322581,0.0175438596491,0.5,0.5,0.0350877192982,0.0350877192982,1.0
4,10006,1,3,1,1,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10010,218,1241,30,30,1176.0,19.0,29.0,17.0,517.0,141.0,314.0,269.0,41.3666666667,5.69266055046,0.0779816513761,5.39449541284,0.133027522936,0.0871559633028,0.216760676873,0.253021756648,0.416599516519,0.11361804996,0.94762288477,0.0153102336825,0.0233682514102,0.013698630137,0.0144557823129,0.894736842105,0.586206896552,0.016156462585,0.0246598639456,1.52631578947
6,10012,169,2602,30,30,2466.0,55.0,45.0,36.0,1138.0,301.0,510.0,653.0,86.7333333333,15.3964497041,0.213017751479,14.5917159763,0.266272189349,0.325443786982,0.250960799385,0.196003074558,0.437355880092,0.115680245965,0.947732513451,0.0211375864719,0.0172943889316,0.0138355111453,0.014598540146,0.654545454545,0.8,0.022303325223,0.0182481751825,0.818181818182
7,10015,605,4831,30,30,4433.0,61.0,199.0,138.0,2038.0,491.0,1039.0,1263.0,161.033333333,7.98512396694,0.228099173554,7.32727272727,0.328925619835,0.100826446281,0.261436555579,0.215069343821,0.4218588284,0.1016352722,0.917615400538,0.0126267853446,0.0411922997309,0.0285655143863,0.0311301601624,2.26229508197,0.693467336683,0.0137604331153,0.0448905932777,3.26229508197
8,10016,28,113,30,19,109.0,1.0,3.0,0.0,61.0,14.0,18.0,20.0,5.94736842105,4.03571428571,0.0,3.89285714286,0.107142857143,0.0357142857143,0.176991150442,0.159292035398,0.53982300885,0.12389380531,0.964601769912,0.00884955752212,0.0265486725664,0.0,0.0,0.0,0.0,0.00917431192661,0.0275229357798,3.0
9,10017,82,463,30,30,417.0,10.0,23.0,13.0,242.0,37.0,65.0,119.0,15.4333333333,5.64634146341,0.158536585366,5.08536585366,0.280487804878,0.121951219512,0.257019438445,0.140388768898,0.522678185745,0.0799136069114,0.900647948164,0.0215982721382,0.0496760259179,0.0280777537797,0.031175059952,1.3,0.565217391304,0.0239808153477,0.0551558752998,2.3
10,10018,3,8,18,3,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.66666666667,2.66666666667,0.0,2.66666666667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,10019,167,1016,30,30,922.0,8.0,55.0,31.0,534.0,134.0,153.0,195.0,33.8666666667,6.08383233533,0.185628742515,5.52095808383,0.329341317365,0.0479041916168,0.191929133858,0.150590551181,0.525590551181,0.13188976378,0.907480314961,0.00787401574803,0.0541338582677,0.0305118110236,0.0336225596529,3.875,0.563636363636,0.00867678958785,0.0596529284165,6.875
12,1002,80,431,30,30,399.0,4.0,22.0,6.0,227.0,40.0,107.0,57.0,14.3666666667,5.3875,0.075,4.9875,0.275,0.05,0.132250580046,0.248259860789,0.526682134571,0.092807424594,0.925754060325,0.0092807424594,0.0510440835267,0.0139211136891,0.015037593985,1.5,0.272727272727,0.0100250626566,0.0551378446115,5.5
13,10021,113,525,30,29,467.0,9.0,27.0,22.0,246.0,48.0,136.0,95.0,18.1034482759,4.64601769912,0.194690265487,4.13274336283,0.238938053097,0.0796460176991,0.180952380952,0.259047619048,0.468571428571,0.0914285714286,0.889523809524,0.0171428571429,0.0514285714286,0.0419047619048,0.0471092077088,2.44444444444,0.814814814815,0.0192719486081,0.0578158458244,3.0
14,10022,17,60,28,14,59.0,0.0,0.0,1.0,28.0,19.0,9.0,4.0,4.28571428571,3.52941176471,0.0588235294118,3.47058823529,0.0,0.0,0.0666666666667,0.15,0.466666666667,0.316666666667,0.983333333333,0.0,0.0,0.0166666666667,0.0169491525424,-999.0,-999.0,0.0,0.0,0.0
15,10023,2,9,19,2,9.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.5,4.5,0.0,4.5,0.0,0.0,0.444444444444,0.555555555556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,10024,3,4,27,3,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.33333333333,1.33333333333,0.0,1.33333333333,0.0,0.0,0.0,0.25,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,10025,1,3,1,1,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,10026,1,4,1,1,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,10027,1,5,1,1,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10028,7,42,17,6,38.0,2.0,1.0,1.0,24.0,0.0,2.0,16.0,7.0,6.0,0.142857142857,5.42857142857,0.142857142857,0.285714285714,0.380952380952,0.047619047619,0.571428571429,0.0,0.904761904762,0.047619047619,0.0238095238095,0.0238095238095,0.0263157894737,0.5,1.0,0.0526315789474,0.0263157894737,0.5
21,10029,328,2538,30,30,2247.0,41.0,171.0,79.0,1240.0,232.0,621.0,445.0,84.6,7.73780487805,0.240853658537,6.8506097561,0.521341463415,0.125,0.175334909377,0.244680851064,0.488573680063,0.0914105594957,0.885342789598,0.0161544523247,0.0673758865248,0.0311268715524,0.035157988429,1.92682926829,0.461988304094,0.0182465509568,0.0761014686248,4.17073170732
22,10031,2,5,11,2,5.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,0.0,0.6,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,10032,1,3,1,1,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,10033,125,460,30,30,431.0,5.0,19.0,5.0,169.0,106.0,104.0,81.0,15.3333333333,3.68,0.04,3.448,0.152,0.04,0.176086956522,0.226086956522,0.367391304348,0.230434782609,0.936956521739,0.0108695652174,0.0413043478261,0.0108695652174,0.0116009280742,1.0,0.263157894737,0.0116009280742,0.0440835266821,3.8
